text,label
Lo que recibí fue no me gustó,0
Atención al cliente terrible,0
Calidad super contento,1
Compra excelente,1
Lo que recibí fue bueno y bonito,1
Atención al cliente el peor,0
Este producto es me encanta,1
Servicio lo volvería a comprar,1
Entrega increíble,1
Servicio bno,0
Calidad fatal,0
Este producto es fatal,0
Este producto es nunca más,0
Entrega estupendo,1
La experiencia fue me encanta,1
Este producto es lo odio,0
Compra frustrante,0
Servicio super contento,1
Entrega me encanta,1
Calidad fatal,0
Compra excelente,1
Atención al cliente vale la pena,1
Atención al cliente terrible,0
Compra nunca más,0
Servicio lo odio,0
Compra vale la pena,1
Servicio increíble,1
Atención al cliente feliz con la compra,1
Entrega maravilloso,1
Entrega lo volvería a comprar,1
Compra exelente,1
Servicio vale la pena,1
Calidad asqueroso,0
Calidad maravilloso,1
Este producto es vale la pena,1
Entrega asqueroso,0
Entrega lo odio,0
La experiencia fue asqueroso,0
Atención al cliente frustrante,0
La experiencia fue super contento,1
Compra vale la pena,1
Servicio lo odio,0
Atención al cliente lo volvería a comprar,1
Este producto es increíble,1
Este producto es vale la pena,1
La experiencia fue fantástico,1
Servicio muy bueno,1
Compra frustrante,0
Atención al cliente fantástico,1
Entrega muy bueno,1
La experiencia fue asqueroso,0
La experiencia fue vale la pena,1
Calidad muy bueno,1
Atención al cliente asqueroso,0
Este producto es satisfecho,1
La experiencia fue feliz con la compra,1
Atención al cliente de primera calidad,1
Lo que recibí fue feliz con la compra,1
Atención al cliente maravilloso,1
Lo que recibí fue terrible,0
Lo que recibí fue el peor,0
Compra perfecto,1
Atención al cliente nunca más,0
Lo que recibí fue satisfecho,1
Calidad perfecto,1
Atención al cliente nunca más,0
Lo que recibí fue lo odio,0
Lo que recibí fue desilusionante,0
Este producto es lo odio,0
Compra lo odio,0
La experiencia fue desilusionante,0
Servicio super contento,1
Calidad horrible,0
Compra terrible,0
La experiencia fue me encanta,1
Calidad satisfecho,1
Lo que recibí fue de primera calidad,1
Entrega decepcionante,0
Atención al cliente no me gustó,0
Calidad perfecto,1
La experiencia fue el peor,0
Servicio el peor,0
Servicio orrible,0
Atención al cliente desilusionante,0
Entrega excelente,1
La experiencia fue terrible,0
Atención al cliente increíble,1
Lo que recibí fue fatal,0
La experiencia fue recomendado,1
La experiencia fue vale la pena,1
Calidad me encanta,1
Servicio de primera calidad,1
Servicio orrible,0
Atención al cliente increíble,1
Lo que recibí fue vale la pena,1
Calidad vale la pena,1
La experiencia fue muy bueno,1
Este producto es vale la pena,1
Atención al cliente fantástico,1
Lo que recibí fue perfecto,1
Servicio bueno y bonito,1
Entrega excelente,1
Este producto es frustrante,0
Lo que recibí fue desilusionante,0
Servicio bueno y bonito,1
Compra de primera calidad,1
Calidad vale la pena,1
Compra lo volvería a comprar,1
Lo que recibí fue orrible,0
Calidad bno,0
Calidad fatal,0
Atención al cliente no me gustó,0
Atención al cliente exelente,1
Atención al cliente bno,0
Calidad horrible,0
La experiencia fue increíble,1
Este producto es vale la pena,1
Calidad decepcionante,0
Compra perfecto,1
Atención al cliente horrible,0
Este producto es vale la pena,1
Este producto es me encanta,1
Este producto es lo odio,0
Atención al cliente pésimo,0
Lo que recibí fue el peor,0
Entrega increíble,1
Calidad frustrante,0
La experiencia fue feliz con la compra,1
Entrega pésimo,0
Lo que recibí fue orrible,0
La experiencia fue excelente,1
Este producto es super contento,1
Compra bno,0
La experiencia fue increíble,1
Este producto es asqueroso,0
La experiencia fue fantástico,1
Compra bueno y bonito,1
Servicio fatal,0
Compra recomendado,1
Entrega me encanta,1
La experiencia fue desastre,0
Lo que recibí fue recomendado,1
Compra frustrante,0
La experiencia fue recomendado,1
Compra estupendo,1
Atención al cliente decepcionante,0
Entrega pésimo,0
Entrega lo volvería a comprar,1
Calidad fatal,0
Este producto es nunca más,0
Entrega excelente,1
Compra frustrante,0
Este producto es me encanta,1
Entrega increíble,1
La experiencia fue horrible,0
Servicio muy bueno,1
Calidad excelente,1
Este producto es muy bueno,1
Servicio desastre,0
Entrega perfecto,1
Compra terrible,0
Entrega feliz con la compra,1
Compra desilusionante,0
Atención al cliente orrible,0
Calidad vale la pena,1
Calidad muy bueno,1
Este producto es desilusionante,0
Atención al cliente recomendado,1
Lo que recibí fue el peor,0
Este producto es decepcionante,0
Compra bueno y bonito,1
Lo que recibí fue desilusionante,0
Lo que recibí fue satisfecho,1
Este producto es lo odio,0
Entrega decepcionante,0
Lo que recibí fue bno,0
Servicio muy malo,0
La experiencia fue lo odio,0
Calidad frustrante,0
Calidad fantástico,1
Este producto es perfecto,1
Entrega me encanta,1
Este producto es satisfecho,1
Este producto es pésimo,0
La experiencia fue satisfecho,1
Entrega de primera calidad,1
Entrega bueno y bonito,1
Calidad horrible,0
La experiencia fue satisfecho,1
La experiencia fue pésimo,0
La experiencia fue super contento,1
Calidad orrible,0
